id,callerID,agentID,complaintTopic,assignedTo,status,resolutionDurationInHours
64,CALLER_64,131,Billing discrepancy,131.0,resolved,pending
65,CALLER_65,166,Billing discrepancy,166.0,closed,5.0
66,CALLER_66,154,Product damaged during shipping,139.0,pEnding,pending
67,CALLER_67,124,Incorrect charges,124.0,new,pending
68,CALLER_68,146,Unsatisfactory resolution,146.0,closed,28.0
69,CALLER_69,131,Package never arrived,156.0,resolved,pending
70,CALLER_70,175,Poor communication,159.0,resolved,pending
71,CALLER_71,132,Unhelpful support,160.0,CLOSED,28.0
72,CALLER_72,128,Poor communication,171.0,pEnding,pending
73,CALLER_73,150,Product not delivered,150.0,CLOSED,37.0
74,CALLER_74,146,Billing discrepancy,146.0,pending,pending
75,CALLER_75,124,Long wait time,173.0,new,pending
76,CALLER_76,135,Product not delivered,135.0,closed,8.0
77,CALLER_77,121,Unhelpful support,121.0,new,pending
78,CALLER_78,170,Unhelpful support,135.0,pEnding,pending
79,CALLER_79,166,Misplaced order,133.0,pEnding,pending
80,CALLER_80,149,Product damaged during shipping,149.0,resolved,pending
81,CALLER_81,123,Lost package,170.0,new,pending
82,CALLER_82,123,Package never arrived,161.0,pending,pending
83,CALLER_83,137,Long wait time,137.0,resolved,pending
84,CALLER_84,123,Unhelpful support,123.0,new,pending
85,CALLER_85,170,Poor quality product,159.0,pending,pending
86,CALLER_86,168,Inaccurate information provided,125.0,pEnding,pending
87,CALLER_87,143,Misplaced order,140.0,resolved,pending
88,CALLER_88,141,Unhelpful support,145.0,pEnding,pending
89,CALLER_89,163,Slow response time,163.0,pEnding,pending
90,CALLER_90,136,Website not working,136.0,pending,pending
91,CALLER_91,176,Unsatisfactory resolution,176.0,pending,pending
92,CALLER_92,139,Wrong item received,144.0,new,pending
93,CALLER_93,123,Unprofessional behavior,123.0,new,pending
94,CALLER_94,150,Wrong item received,150.0,closed,25.0
95,CALLER_95,147,Difficulty cancelling subscription,177.0,CLOSED,37.0
96,CALLER_96,147,Lost package,130.0,pending,pending
97,CALLER_97,146,Product not as described,146.0,resolved,pending
98,CALLER_98,147,Unhelpful support,143.0,closed,29.0
99,CALLER_99,128,Unsatisfactory resolution,130.0,CLOSED,17.0
100,CALLER_100,123,Lost package,123.0,CLOSED,48.0
101,CALLER_101,134,Poor communication,134.0,new,pending
102,CALLER_102,176,Inaccurate information provided,176.0,pending,pending
103,CALLER_103,147,Refund not processed,129.0,new,pending
104,CALLER_104,132,Incorrect order,132.0,pending,pending
105,CALLER_105,160,Slow response time,160.0,CLOSED,43.0
106,CALLER_106,131,Product not as described,162.0,pending,pending
107,CALLER_107,143,Product not as described,143.0,new,pending
108,CALLER_108,158,Product damaged during shipping,148.0,CLOSED,11.0
109,CALLER_109,158,Product not as described,175.0,closed,14.0
110,CALLER_110,146,Inaccurate information provided,146.0,CLOSED,30.0
111,CALLER_111,122,Product damaged during shipping,122.0,pending,pending
112,CALLER_112,144,Rude customer service representative,163.0,new,pending
113,CALLER_113,147,Inaccurate information provided,132.0,pending,pending
114,CALLER_114,179,Poor communication,137.0,pEnding,pending
115,CALLER_115,158,Slow response time,152.0,pEnding,pending
116,CALLER_116,173,Difficulty getting a refund,148.0,pending,pending
117,CALLER_117,148,Shipping delay,147.0,resolved,pending
118,CALLER_118,178,Difficulty cancelling subscription,178.0,resolved,pending
119,CALLER_119,176,Slow response time,138.0,closed,26.0
120,CALLER_120,139,Product not as described,140.0,new,pending
121,CALLER_121,137,Package never arrived,137.0,pEnding,pending
122,CALLER_122,177,Unhelpful support,177.0,pending,pending
123,CALLER_123,174,Refund not processed,136.0,resolved,pending
124,CALLER_124,130,Rude customer service representative,130.0,pending,pending
125,CALLER_125,123,Unsatisfactory resolution,142.0,resolved,pending
126,CALLER_126,154,Inadequate product instructions,143.0,new,pending
127,CALLER_127,132,Product not delivered,123.0,pending,pending
128,CALLER_128,164,Slow response time,164.0,pEnding,pending
129,CALLER_129,154,Unauthorized charges,180.0,CLOSED,34.0
130,CALLER_130,146,Poor communication,170.0,pEnding,pending
131,CALLER_131,177,Product damaged during shipping,156.0,new,pending
132,CALLER_132,176,Incorrect charges,176.0,pEnding,pending
133,CALLER_133,141,Website not working,141.0,new,pending
134,CALLER_134,131,Slow response time,146.0,pending,pending
135,CALLER_135,130,Long wait time,141.0,pEnding,pending
136,CALLER_136,132,Unresolved issue,156.0,pEnding,pending
137,CALLER_137,168,Inaccurate information provided,167.0,pending,pending
138,CALLER_138,164,Difficulty cancelling subscription,159.0,closed,7.0
139,CALLER_139,124,Rude customer service representative,122.0,pending,pending
140,CALLER_140,175,Wrong item received,169.0,CLOSED,47.0
141,CALLER_141,130,Unsatisfactory resolution,168.0,pending,pending
142,CALLER_142,128,Lack of follow-up,137.0,pEnding,pending
143,CALLER_143,136,Unprofessional behavior,136.0,pEnding,pending
144,CALLER_144,157,Refund not processed,133.0,closed,16.0
145,CALLER_145,150,Incorrect order,150.0,new,pending
146,CALLER_146,129,Poor communication,129.0,resolved,pending
147,CALLER_147,122,Package never arrived,157.0,pEnding,pending
148,CALLER_148,141,Difficulty getting a refund,160.0,closed,9.0
149,CALLER_149,121,Lack of follow-up,178.0,closed,7.0
150,CALLER_150,153,Wrong item received,138.0,pEnding,pending
151,CALLER_151,134,Difficulty cancelling subscription,134.0,pending,pending
152,CALLER_152,144,Product not as described,171.0,closed,43.0
153,CALLER_153,159,Product not delivered,134.0,resolved,pending
154,CALLER_154,141,Poor communication,158.0,pEnding,pending
155,CALLER_155,125,Package delivered to wrong address,162.0,pending,pending
156,CALLER_156,129,Unhelpful support,129.0,resolved,pending
157,CALLER_157,134,Inaccurate information provided,134.0,closed,46.0
158,CALLER_158,131,Misplaced order,131.0,pending,pending
159,CALLER_159,136,Difficulty reaching customer support,136.0,pEnding,pending
160,CALLER_160,162,Difficulty cancelling subscription,162.0,pEnding,pending
161,CALLER_161,153,Long wait time,159.0,pending,pending
162,CALLER_162,156,Unsatisfactory resolution,137.0,pending,pending
163,CALLER_163,149,Poor communication,141.0,CLOSED,48.0
164,CALLER_164,141,Product not as described,168.0,new,pending
165,CALLER_165,165,Rude customer service representative,173.0,closed,43.0
166,CALLER_166,137,Refund not processed,137.0,closed,42.0
167,CALLER_167,133,Package delivered to wrong address,130.0,closed,11.0
168,CALLER_168,149,Poor quality product,129.0,pEnding,pending
169,CALLER_169,161,Long wait time,158.0,CLOSED,32.0
170,CALLER_170,127,Product not as described,160.0,CLOSED,33.0
171,CALLER_171,151,Lack of follow-up,167.0,closed,29.0
172,CALLER_172,142,Misplaced order,129.0,new,pending
173,CALLER_173,143,Billing discrepancy,143.0,resolved,pending
174,CALLER_174,159,Unprofessional behavior,150.0,new,pending
175,CALLER_175,131,Unprofessional behavior,161.0,pEnding,pending
176,CALLER_176,170,Package delivered to wrong address,132.0,pEnding,pending
177,CALLER_177,179,Inaccurate information provided,179.0,pending,pending
178,CALLER_178,169,Lack of follow-up,124.0,pEnding,pending
179,CALLER_179,138,Unresolved issue,154.0,pEnding,pending
180,CALLER_180,163,Shipping delay,125.0,pEnding,pending
181,CALLER_181,126,Incorrect charges,126.0,pEnding,pending
182,CALLER_182,178,Billing discrepancy,168.0,closed,45.0
183,CALLER_183,141,Misplaced order,142.0,pEnding,pending
184,CALLER_184,135,Incorrect charges,135.0,resolved,pending
185,CALLER_185,140,Difficulty reaching customer support,135.0,resolved,pending
186,CALLER_186,180,Wrong item received,168.0,CLOSED,6.0
187,CALLER_187,137,Poor communication,137.0,CLOSED,39.0
188,CALLER_188,149,Inaccurate information provided,158.0,pending,pending
189,CALLER_189,174,Package never arrived,172.0,resolved,pending
190,CALLER_190,160,Incorrect order,135.0,pEnding,pending
191,CALLER_191,181,Slow response time,176.0,new,pending
192,CALLER_192,173,Inaccurate information provided,129.0,CLOSED,42.0
193,CALLER_193,139,Inaccurate information provided,139.0,pEnding,pending
194,CALLER_194,155,Unauthorized charges,124.0,CLOSED,48.0
195,CALLER_195,126,Poor quality product,162.0,resolved,pending
196,CALLER_196,150,Inaccurate information provided,150.0,pEnding,pending
197,CALLER_197,142,Package delivered to wrong address,144.0,new,pending
198,CALLER_198,166,Unsatisfactory resolution,166.0,pending,pending
199,CALLER_199,124,Slow response time,135.0,resolved,pending
200,CALLER_200,135,Product damaged during shipping,135.0,CLOSED,32.0
201,CALLER_201,157,Lack of follow-up,148.0,CLOSED,45.0
202,CALLER_202,179,Refund not processed,162.0,pending,pending
203,CALLER_203,129,Incorrect charges,129.0,CLOSED,18.0
204,CALLER_204,179,Inadequate product instructions,179.0,pending,pending
205,CALLER_205,166,Unauthorized charges,166.0,new,pending
206,CALLER_206,180,Incorrect charges,180.0,new,pending
207,CALLER_207,166,Poor communication,166.0,resolved,pending
208,CALLER_208,133,Wrong item received,133.0,pEnding,pending
209,CALLER_209,163,Refund not processed,163.0,pending,pending
210,CALLER_210,131,Product not as described,156.0,pEnding,pending
211,CALLER_211,172,Inadequate product instructions,148.0,pending,pending
212,CALLER_212,141,Billing discrepancy,171.0,pending,pending
213,CALLER_213,163,Incorrect order,163.0,pEnding,pending
214,CALLER_214,174,Lack of follow-up,158.0,resolved,pending
215,CALLER_215,163,Unprofessional behavior,163.0,closed,23.0
216,CALLER_216,126,Long wait time,126.0,new,pending
217,CALLER_217,132,Wrong item received,170.0,CLOSED,34.0
218,CALLER_218,177,Incorrect charges,177.0,CLOSED,40.0
219,CALLER_219,147,Difficulty reaching customer support,172.0,pEnding,pending
220,CALLER_220,152,Product not as described,152.0,resolved,pending
221,CALLER_221,149,Lost package,156.0,resolved,pending
222,CALLER_222,141,Unprofessional behavior,141.0,resolved,pending
223,CALLER_223,159,Package never arrived,159.0,pending,pending
224,CALLER_224,178,Incorrect charges,142.0,CLOSED,29.0
225,CALLER_225,143,Difficulty cancelling subscription,125.0,new,pending
226,CALLER_226,158,Inadequate product instructions,158.0,closed,43.0
227,CALLER_227,122,Difficulty getting a refund,156.0,pending,pending
228,CALLER_228,179,Unprofessional behavior,179.0,new,pending
229,CALLER_229,146,Package delivered to wrong address,146.0,closed,36.0
230,CALLER_230,163,Poor quality product,163.0,CLOSED,9.0
231,CALLER_231,158,Product not delivered,129.0,closed,42.0
232,CALLER_232,180,Poor communication,180.0,closed,44.0
233,CALLER_233,174,Unresolved issue,177.0,closed,12.0
234,CALLER_234,163,Website not working,168.0,new,pending
235,CALLER_235,161,Product not delivered,164.0,CLOSED,33.0
236,CALLER_236,146,Billing discrepancy,144.0,resolved,pending
237,CALLER_237,141,Package never arrived,139.0,resolved,pending
238,CALLER_238,169,Unresolved issue,180.0,CLOSED,11.0
239,CALLER_239,165,Wrong item received,181.0,closed,29.0
240,CALLER_240,157,Difficulty getting a refund,156.0,pending,pending
241,CALLER_241,163,Difficulty reaching customer support,163.0,closed,20.0
242,CALLER_242,125,Product damaged during shipping,160.0,resolved,pending
243,CALLER_243,133,Difficulty cancelling subscription,133.0,resolved,pending
244,CALLER_244,137,Poor quality product,137.0,resolved,pending
245,CALLER_245,181,Misplaced order,155.0,new,pending
246,CALLER_246,131,Shipping delay,131.0,resolved,pending
247,CALLER_247,128,Website not working,176.0,new,pending
248,CALLER_248,129,Billing discrepancy,156.0,CLOSED,24.0
249,CALLER_249,171,Rude customer service representative,180.0,pEnding,pending
250,CALLER_250,141,Lack of follow-up,169.0,new,pending
251,CALLER_251,130,Unresolved issue,179.0,closed,24.0
252,CALLER_252,138,Inadequate product instructions,156.0,pEnding,pending
253,CALLER_253,133,Lack of follow-up,133.0,new,pending
254,CALLER_254,146,Unauthorized charges,123.0,new,pending
255,CALLER_255,163,Inadequate product instructions,163.0,pEnding,pending
256,CALLER_256,178,Misplaced order,156.0,new,pending
257,CALLER_257,122,Unprofessional behavior,138.0,CLOSED,24.0
258,CALLER_258,175,Lack of follow-up,175.0,closed,23.0
259,CALLER_259,152,Wrong item received,171.0,CLOSED,16.0
260,CALLER_260,164,Long wait time,173.0,resolved,pending
261,CALLER_261,133,Product damaged during shipping,133.0,resolved,pending
262,CALLER_262,134,Slow response time,134.0,pEnding,pending
263,CALLER_263,140,Unhelpful support,140.0,pending,pending
264,CALLER_264,146,Unresolved issue,146.0,new,pending
265,CALLER_265,123,Website not working,123.0,resolved,pending
266,CALLER_266,148,Package never arrived,148.0,pEnding,pending
267,CALLER_267,170,Unauthorized charges,170.0,pEnding,pending
268,CALLER_268,178,Inaccurate information provided,130.0,new,pending
269,CALLER_269,168,Shipping delay,168.0,new,pending
270,CALLER_270,155,Shipping delay,155.0,pEnding,pending
271,CALLER_271,133,Unprofessional behavior,137.0,new,pending
272,CALLER_272,135,Poor communication,127.0,new,pending
273,CALLER_273,142,Inaccurate information provided,147.0,CLOSED,18.0
274,CALLER_274,168,Unresolved issue,124.0,new,pending
275,CALLER_275,152,Incorrect order,143.0,new,pending
276,CALLER_276,153,Inadequate product instructions,150.0,new,pending
277,CALLER_277,125,Product not delivered,125.0,pending,pending
278,CALLER_278,136,Inaccurate information provided,153.0,pEnding,pending
279,CALLER_279,171,Unresolved issue,180.0,CLOSED,12.0
280,CALLER_280,121,Billing discrepancy,121.0,pEnding,pending
281,CALLER_281,174,Slow response time,174.0,CLOSED,9.0
282,CALLER_282,150,Poor communication,150.0,new,pending
283,CALLER_283,135,Product not delivered,135.0,pending,pending
284,CALLER_284,159,Incorrect charges,146.0,new,pending
285,CALLER_285,162,Poor communication,138.0,CLOSED,48.0
286,CALLER_286,150,Product not as described,139.0,closed,6.0
287,CALLER_287,168,Product not as described,168.0,pEnding,pending
288,CALLER_288,157,Inaccurate information provided,150.0,pEnding,pending
289,CALLER_289,133,Billing discrepancy,121.0,pEnding,pending
290,CALLER_290,173,Unhelpful support,151.0,pEnding,pending
291,CALLER_291,161,Website not working,122.0,pending,pending
292,CALLER_292,130,Slow response time,130.0,CLOSED,43.0
293,CALLER_293,122,Unauthorized charges,126.0,pending,pending
294,CALLER_294,169,Difficulty cancelling subscription,169.0,resolved,pending
295,CALLER_295,179,Poor quality product,179.0,CLOSED,25.0
296,CALLER_296,155,Product damaged during shipping,148.0,pending,pending
297,CALLER_297,152,Inaccurate information provided,124.0,pEnding,pending
298,CALLER_298,122,Long wait time,122.0,resolved,pending
299,CALLER_299,161,Difficulty getting a refund,127.0,closed,22.0
300,CALLER_300,144,Product damaged during shipping,164.0,pending,pending
301,CALLER_301,175,Billing discrepancy,147.0,pending,pending
302,CALLER_302,163,Rude customer service representative,137.0,new,pending
303,CALLER_303,180,Website not working,180.0,resolved,pending
304,CALLER_304,168,Wrong item received,168.0,resolved,pending
305,CALLER_305,181,Wrong item received,149.0,resolved,pending
306,CALLER_306,171,Unresolved issue,171.0,CLOSED,40.0
307,CALLER_307,137,Shipping delay,137.0,pending,pending
308,CALLER_308,149,Unresolved issue,149.0,closed,25.0
309,CALLER_309,165,Billing discrepancy,176.0,pending,pending
310,CALLER_310,152,Difficulty cancelling subscription,141.0,pEnding,pending
311,CALLER_311,145,Unresolved issue,126.0,new,pending
312,CALLER_312,140,Unauthorized charges,157.0,resolved,pending
313,CALLER_313,170,Inaccurate information provided,170.0,closed,22.0
314,CALLER_314,181,Website not working,172.0,pending,pending
315,CALLER_315,140,Incorrect order,176.0,CLOSED,42.0
316,CALLER_316,121,Inaccurate information provided,127.0,closed,32.0
317,CALLER_317,169,Incorrect order,181.0,CLOSED,27.0
318,CALLER_318,176,Poor communication,166.0,closed,42.0
319,CALLER_319,167,Website not working,167.0,new,pending
320,CALLER_320,139,Refund not processed,163.0,pending,pending
321,CALLER_321,135,Package never arrived,164.0,closed,43.0
322,CALLER_322,125,Difficulty getting a refund,125.0,CLOSED,3.0
323,CALLER_323,132,Unhelpful support,132.0,CLOSED,3.0
324,CALLER_324,156,Package delivered to wrong address,157.0,closed,37.0
325,CALLER_325,181,Poor quality product,181.0,closed,11.0
326,CALLER_326,134,Unprofessional behavior,167.0,pending,pending
327,CALLER_327,172,Inadequate product instructions,148.0,pending,pending
328,CALLER_328,122,Incorrect charges,125.0,closed,9.0
329,CALLER_329,130,Lost package,130.0,pending,pending
330,CALLER_330,131,Product damaged during shipping,163.0,pEnding,pending
331,CALLER_331,128,Product not delivered,178.0,new,pending
332,CALLER_332,180,Product not delivered,160.0,new,pending
333,CALLER_333,156,Website not working,175.0,pEnding,pending
334,CALLER_334,173,Website not working,173.0,CLOSED,20.0
335,CALLER_335,178,Wrong item received,178.0,resolved,pending
336,CALLER_336,128,Unhelpful support,168.0,closed,35.0
337,CALLER_337,164,Misplaced order,171.0,resolved,pending
338,CALLER_338,164,Wrong item received,164.0,pEnding,pending
339,CALLER_339,142,Package never arrived,181.0,pEnding,pending
340,CALLER_340,181,Refund not processed,137.0,pending,pending
341,CALLER_341,124,Unsatisfactory resolution,160.0,CLOSED,38.0
342,CALLER_342,135,Lack of follow-up,135.0,closed,41.0
343,CALLER_343,179,Website not working,126.0,resolved,pending
344,CALLER_344,180,Shipping delay,153.0,new,pending
345,CALLER_345,175,Billing discrepancy,175.0,new,pending
346,CALLER_346,136,Poor communication,157.0,closed,5.0
347,CALLER_347,129,Shipping delay,129.0,CLOSED,47.0
348,CALLER_348,153,Poor quality product,124.0,new,pending
349,CALLER_349,148,Unauthorized charges,152.0,closed,45.0
350,CALLER_350,167,Long wait time,181.0,closed,10.0
351,CALLER_351,141,Inadequate product instructions,149.0,resolved,pending
352,CALLER_352,154,Inaccurate information provided,160.0,pending,pending
353,CALLER_353,169,Wrong item received,158.0,CLOSED,12.0
354,CALLER_354,151,Difficulty getting a refund,144.0,resolved,pending
355,CALLER_355,158,Product damaged during shipping,125.0,pending,pending
356,CALLER_356,124,Refund not processed,124.0,closed,25.0
357,CALLER_357,124,Lack of follow-up,136.0,pEnding,pending
358,CALLER_358,172,Slow response time,172.0,pending,pending
359,CALLER_359,176,Refund not processed,176.0,new,pending
360,CALLER_360,163,Poor communication,163.0,pending,pending
361,CALLER_361,148,Slow response time,173.0,closed,37.0
362,CALLER_362,127,Poor communication,177.0,pEnding,pending
363,CALLER_363,155,Package delivered to wrong address,181.0,new,pending
364,CALLER_364,153,Misplaced order,153.0,CLOSED,9.0
365,CALLER_365,148,Lack of follow-up,148.0,CLOSED,18.0
366,CALLER_366,174,Product not as described,181.0,resolved,pending
367,CALLER_367,176,Lost package,176.0,resolved,pending
368,CALLER_368,124,Package never arrived,124.0,closed,35.0
369,CALLER_369,164,Misplaced order,164.0,closed,24.0
370,CALLER_370,173,Lack of follow-up,164.0,CLOSED,15.0
371,CALLER_371,142,Long wait time,167.0,resolved,pending
372,CALLER_372,169,Package never arrived,169.0,pending,pending
373,CALLER_373,176,Product not delivered,132.0,CLOSED,42.0
374,CALLER_374,160,Misplaced order,160.0,resolved,pending
375,CALLER_375,145,Product not delivered,151.0,resolved,pending
376,CALLER_376,143,Lack of follow-up,143.0,closed,24.0
377,CALLER_377,178,Incorrect order,178.0,new,pending
378,CALLER_378,158,Difficulty getting a refund,137.0,pEnding,pending
379,CALLER_379,142,Incorrect order,145.0,pending,pending
380,CALLER_380,146,Package delivered to wrong address,174.0,resolved,pending
381,CALLER_381,173,Difficulty getting a refund,152.0,CLOSED,5.0
382,CALLER_382,178,Package never arrived,131.0,pEnding,pending
383,CALLER_383,165,Inaccurate information provided,165.0,resolved,pending
384,CALLER_384,132,Poor communication,132.0,CLOSED,12.0
385,CALLER_385,151,Long wait time,171.0,pEnding,pending
386,CALLER_386,127,Slow response time,150.0,CLOSED,13.0
387,CALLER_387,142,Long wait time,126.0,resolved,pending
388,CALLER_388,143,Difficulty getting a refund,143.0,resolved,pending
389,CALLER_389,175,Difficulty reaching customer support,130.0,pending,pending
390,CALLER_390,123,Poor communication,169.0,resolved,pending
391,CALLER_391,167,Refund not processed,152.0,closed,22.0
392,CALLER_392,166,Incorrect charges,159.0,resolved,pending
393,CALLER_393,152,Poor communication,172.0,pEnding,pending
394,CALLER_394,151,Package delivered to wrong address,151.0,pending,pending
395,CALLER_395,144,Unsatisfactory resolution,126.0,new,pending
396,CALLER_396,149,Poor communication,156.0,closed,22.0
397,CALLER_397,125,Lost package,175.0,new,pending
398,CALLER_398,136,Slow response time,155.0,pEnding,pending
399,CALLER_399,136,Lack of follow-up,130.0,closed,39.0
400,CALLER_400,152,Shipping delay,152.0,pending,pending
401,CALLER_401,132,Package delivered to wrong address,177.0,resolved,pending
402,CALLER_402,132,Rude customer service representative,179.0,pending,pending
403,CALLER_403,150,Product damaged during shipping,176.0,resolved,pending
404,CALLER_404,124,Package delivered to wrong address,127.0,resolved,pending
405,CALLER_405,176,Refund not processed,157.0,CLOSED,31.0
406,CALLER_406,161,Difficulty reaching customer support,129.0,pending,pending
407,CALLER_407,158,Unresolved issue,158.0,pEnding,pending
408,CALLER_408,177,Poor quality product,143.0,CLOSED,47.0
409,CALLER_409,179,Poor quality product,140.0,resolved,pending
410,CALLER_410,167,Difficulty getting a refund,167.0,pEnding,pending
411,CALLER_411,168,Difficulty getting a refund,138.0,pEnding,pending
412,CALLER_412,176,Poor quality product,145.0,pending,pending
413,CALLER_413,122,Lost package,143.0,pEnding,pending
414,CALLER_414,175,Package never arrived,149.0,closed,30.0
415,CALLER_415,122,Unsatisfactory resolution,130.0,pending,pending
416,CALLER_416,152,Wrong item received,158.0,resolved,pending
417,CALLER_417,161,Package never arrived,156.0,pEnding,pending
418,CALLER_418,160,Poor communication,156.0,pending,pending
419,CALLER_419,144,Inaccurate information provided,178.0,closed,32.0
420,CALLER_420,172,Shipping delay,140.0,resolved,pending
421,CALLER_421,137,Website not working,148.0,resolved,pending
422,CALLER_422,160,Refund not processed,160.0,resolved,pending
423,CALLER_423,122,Inaccurate information provided,133.0,closed,4.0
424,CALLER_424,167,Unhelpful support,158.0,pEnding,pending
425,CALLER_425,150,Incorrect order,138.0,pEnding,pending
426,CALLER_426,157,Poor communication,157.0,resolved,pending
427,CALLER_427,164,Refund not processed,165.0,pEnding,pending
428,CALLER_428,175,Package delivered to wrong address,140.0,pending,pending
429,CALLER_429,153,Poor communication,131.0,resolved,pending
430,CALLER_430,177,Wrong item received,177.0,CLOSED,20.0
431,CALLER_431,167,Product not as described,180.0,pEnding,pending
432,CALLER_432,140,Unhelpful support,166.0,pending,pending
433,CALLER_433,137,Product not as described,137.0,pending,pending
434,CALLER_434,181,Website not working,181.0,pEnding,pending
435,CALLER_435,180,Difficulty getting a refund,180.0,pEnding,pending
436,CALLER_436,125,Inaccurate information provided,125.0,pEnding,pending
437,CALLER_437,159,Product damaged during shipping,150.0,closed,48.0
438,CALLER_438,132,Unauthorized charges,132.0,pEnding,pending
439,CALLER_439,143,Wrong item received,125.0,resolved,pending
440,CALLER_440,153,Incorrect charges,153.0,pending,pending
441,CALLER_441,165,Unsatisfactory resolution,146.0,pending,pending
442,CALLER_442,158,Lost package,158.0,closed,45.0
443,CALLER_443,162,Slow response time,162.0,pEnding,pending
444,CALLER_444,154,Unhelpful support,169.0,CLOSED,36.0
445,CALLER_445,157,Billing discrepancy,157.0,pending,pending
446,CALLER_446,153,Product damaged during shipping,151.0,pEnding,pending
447,CALLER_447,128,Wrong item received,173.0,CLOSED,16.0
448,CALLER_448,129,Billing discrepancy,129.0,new,pending
449,CALLER_449,174,Unprofessional behavior,157.0,closed,10.0
450,CALLER_450,170,Billing discrepancy,130.0,new,pending
451,CALLER_451,151,Difficulty getting a refund,137.0,new,pending
452,CALLER_452,174,Long wait time,133.0,pending,pending
453,CALLER_453,172,Lack of follow-up,172.0,closed,19.0
454,CALLER_454,145,Unauthorized charges,141.0,resolved,pending
455,CALLER_455,155,Billing discrepancy,147.0,resolved,pending
456,CALLER_456,145,Inaccurate information provided,145.0,pEnding,pending
457,CALLER_457,148,Website not working,123.0,resolved,pending
458,CALLER_458,124,Incorrect order,160.0,closed,48.0
459,CALLER_459,175,Difficulty getting a refund,136.0,closed,9.0
